"Tabla Origen","Columna Local","Tabla Destino","Columna Destino"
ant_anticipo_adjuntos,ant_anticipos_id,ant_anticipos,id
ant_anticipo_gestiones,ant_anticipos_id,ant_anticipos,id
ant_anticipo_items,ant_anticipos_id,ant_anticipos,id
ant_anticipo_valores,ant_anticipos_id,ant_anticipos,id
ant_anticipo_valores,ant_anticipo_items_id,ant_anticipo_items,id
ant_anticipo_valores,au_cotizaciones_id,au_cotizaciones,id
ant_anticipos,aseg_afiliados_id,aseg_afiliados,id
ant_anticipos,cnt_prestadores_id,cnt_prestadores,id
ant_anticipos,cnt_prestador_sedes_id,cnt_prestador_sedes,id
ant_anticipos,gn_empresas_id,gn_empresas,id
ant_anticipos,gn_usuarios_id,gn_usuarios,id
ant_ws_transaccion_sucesos,ant_anticipos_id,ant_anticipos,id
ant_ws_transaccion_sucesos,ws_ant_transaccion_detalle_id,ws_ant_transaccion_detalles,id
aseg_adjuntos,radicado_novedades_id,aseg_radicado_novedades,id
aseg_afiliado_certificados,aseg_afiliados_id,aseg_afiliados,id
aseg_afiliado_contactos,aseg_afiliados_id,aseg_afiliados,id
aseg_afiliado_coordenadas,id_afiliado,aseg_afiliados,id
aseg_afiliado_documentos,aseg_afiliados_id,aseg_afiliados,id
aseg_afiliado_historicos,aseg_afiliados_id,aseg_afiliados,id
aseg_afiliados,aseg_grupos_familiares_id,aseg_grupos_familiares,id
aseg_afiliados,primaria_cnt_prestador_sedes_id,cnt_prestador_sedes,id
aseg_afiliados,portabilidad_cnt_prestador_sedes_id,cnt_prestador_sedes,id
aseg_afiliados,odontologia_cnt_prestador_sedes_id,cnt_prestador_sedes,id
aseg_afiliados,gn_divisiones_id,gn_divisiones,id
aseg_afiliados,nacionalidad_ubicaciones_id,gn_ubicaciones,id
aseg_afiliados,gn_ubicacion_actual_afiliado,gn_ubicaciones,id
aseg_afiliados,gn_ubicacion_barrios_id,gn_ubicacion_barrios,id
aseg_afiliados,nacimiento_ubicaciones_id,gn_ubicaciones,id
aseg_afiliados,afiliacion_ubicaciones_id,gn_ubicaciones,id
aseg_afiliados,residencia_ubicacion_id,gn_ubicaciones,id
aseg_afiliados,gn_ubicaciones_lugar_nacimiento_id,gn_ubicaciones,id
aseg_anexo1_adjuntos,aseg_anexos1_id,aseg_anexos1,id
aseg_anexos1,aseg_afiliados_id,aseg_afiliados,id
aseg_anexos1,gn_empresas_id,gn_empresas,id
aseg_anexos1,residencia_ubicacion_id_nuevo,gn_ubicaciones,id
aseg_detalle_cargas,aseg_cargas_id,aseg_cargas,id
aseg_grupos_familiares,aseg_afiliados_id,aseg_afiliados,id
aseg_portabilidades,cnt_prestador_sedes_id,cnt_prestador_sedes,id
aseg_portabilidades,aseg_afiliados_id,aseg_afiliados,id
aseg_portabilidades,ubicaciones_id,gn_ubicaciones,id
aseg_radicado_novedades,aseg_afiliados_id,aseg_afiliados,id
aseg_registro_novedades,radicado_novedades_id,aseg_radicado_novedades,id
aseg_registro_novedades,aseg_ma_novedades_id,aseg_ma_novedades,id
aseg_registro_novedades,aseg_reporte_novedades_id,aseg_reporte_novedades,id
aseg_reporte_novedades,aseg_afiliados_id,aseg_afiliados,id
aseg_tabulacion_encuestas,aseg_afiliados_id,aseg_afiliados,id
aseg_tabulacion_encuestas,aseg_encuesta_preguntas_id,aseg_encuesta_preguntas,id
aseg_traslados,aseg_afiliados_id,aseg_afiliados,id
au_anexo2_adjuntos,au_anexos2_id,au_anexos2,id
au_anexo2_diagnosticos,au_anexos2_id,au_anexos2,id
au_anexo2_items,au_anexos2_id,au_anexos2,id
au_anexo2_rescate_gestiones,au_anexo2_rescates_id,au_anexo2_rescates,id
au_anexo2_rescate_sedes,cnt_prestador_sede_origen_id,cnt_prestador_sedes,id
au_anexo2_rescate_sedes,cnt_prestador_sede_capita_id,cnt_prestador_sedes,id
au_anexo2_rescates,aseg_afiliados_id,aseg_afiliados,id
au_anexo2_rescates,cnt_prestadores_origen_id,cnt_prestadores,id
au_anexo2_rescates,cnt_prestadores_destino_id,cnt_prestadores,id
au_anexo2_rescates,cnt_prestador_sedes_origen_id,cnt_prestador_sedes,id
au_anexo2_rescates,cnt_prestador_sedes_destino_id,cnt_prestador_sedes,id
au_anexo2_rescates,auc_hospitalizaciones_id,auc_hospitalizaciones,id
au_anexo2_rescates,au_anexos3_id,au_anexos3,id
au_anexo2_rescates,pe_programas_id,pe_programas,id
au_anexo2_rescates,au_anexos2_id,au_anexos2,id
au_anexo2_rescates,gn_empresas_id,gn_empresas,id
au_anexo3_adjuntos,au_anexos3_id,au_anexos3,id
au_anexo3_afiliados,au_anexo3_id,au_anexos3,id
au_anexo3_carga_anulada_sucesos,au_anexos3_id,au_anexos3,id
au_anexo3_carga_anulada_sucesos,au_anexo3_carga_anuladas_id,au_anexo3_carga_anuladas,id
au_anexo3_carga_anuladas,gn_empresas_id,gn_empresas,id
au_anexo3_carga_detalles,au_anexo3_cargas_id,au_anexo3_cargas,id
au_anexo3_carga_sucesos,au_anexo3_cargas_id,au_anexo3_cargas,id
au_anexo3_carga_sucesos,au_anexo3_carga_detalles_id,au_anexo3_carga_detalles,id
au_anexo3_cargas,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_anexo3_cargas,gn_empresas_id,gn_empresas,id
au_anexo3_diagnosticos,au_anexos3_id,au_anexos3,id
au_anexo3_historicos,au_anexo3_items_id,au_anexo3_items,id
au_anexo3_historicos,au_anexos3_id,au_anexos3,id
au_anexo3_items,au_anexos3_id,au_anexos3,id
au_anexo3_items,au_grupos_id,au_grupos,id
au_anexo3_items,gn_usuarios_id,gn_usuarios,id
au_anexo3_tutelas,au_anexos3_id,au_anexos3,id
au_anexo4_carga_anulada_sucesos,au_anexos4_id,au_anexos4,id
au_anexo4_carga_anulada_sucesos,au_anexo4_carga_anuladas_id,au_anexo4_carga_anuladas,id
au_anexo4_carga_anuladas,gn_empresas_id,gn_empresas,id
au_anexo4_destinos,au_anexo3_zonas_id,au_anexo4_zonas,id
au_anexo4_entregas,au_anexo4_items_id,au_anexo4_items,id
au_anexo4_entregas,au_anexos4_id,au_anexos4,id
au_anexo4_estados,au_anexos4_id,au_anexos4,id
au_anexo4_historicos,au_anexos4_id,au_anexos4,id
au_anexo4_impresiones,au_anexos4_id,au_anexos4,id
au_anexo4_items,au_anexo2_items_id,au_anexo2_items,id
au_anexo4_items,au_anexo3_items_id,au_anexo3_items,id
au_anexo4_items,au_anexos4_id,au_anexos4,id
au_anexo4_items,au_cotizaciones_id,au_cotizaciones,id
au_anexo4_items,cnt_contrato_detalles_id,cnt_contrato_detalles,id
au_anexos2,aseg_afiliados_id,aseg_afiliados,id
au_anexos2,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_anexos2,cnt_profesionales_id,cnt_profesionales,id
au_anexos2,gn_empresas_id,gn_empresas,id
au_anexos3,au_anexo3_carga_anuladas_id,au_anexo3_carga_anuladas,id
au_anexos3,aseg_afiliados_id,aseg_afiliados,id
au_anexos3,au_anexo3_cargas_id,au_anexo3_cargas,id
au_anexos3,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_anexos3,cnt_profesionales_id,cnt_profesionales,id
au_anexos3,gn_empresas_id,gn_empresas,id
au_anexos3,pe_programas_id,pe_programas,id
au_anexos4,au_anexo4_carga_anuladas_id,au_anexo4_carga_anuladas,id
au_anexos4,aseg_afiliados_id,aseg_afiliados,id
au_anexos4,au_anexos2_id,au_anexos2,id
au_anexos4,au_anexos3_id,au_anexos3,id
au_anexos4,cnt_contratos_id,cnt_contratos,id
au_anexos4,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_anexos4,gn_empresas_id,gn_empresas,id
au_anexos4,ref_anexos9_id,ref_anexos9,id
au_carga_detalles_anexos3,au_anexo3_cargas_id,au_anexo3_cargas,id
au_carga_detalles_anexos3,au_anexo3_carga_detalles_id,au_anexo3_carga_detalles,id
au_carga_detalles_anexos3,au_anexos3_id,au_anexos3,id
au_cotizacion_adjuntos,au_cotizaciones_id,au_cotizaciones,id
au_cotizacion_carga_anulada_sucesos,au_anexo3_items_id,au_anexo3_items,id
au_cotizacion_carga_anulada_sucesos,au_cotizacion_carga_anuladas_id,au_cotizacion_carga_anuladas,id
au_cotizacion_carga_anuladas,gn_empresas_id,gn_empresas,id
au_cotizacion_items,au_anexo3_items_id,au_anexo3_items,id
au_cotizacion_items,au_cotizaciones_id,au_cotizaciones,id
au_cotizaciones,aseg_afiliados_id,aseg_afiliados,id
au_cotizaciones,au_anexos3_id,au_anexos3,id
au_cotizaciones,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_cotizaciones,mp_prescripcion_id,mp_prescripciones,id
au_entrega_carga_detalles,au_anexo4_entregas_id,au_anexo4_entregas,id
au_entrega_carga_detalles,au_entrega_cargas_id,au_entrega_cargas,id
au_grupo_diagnosticos,au_grupos_id,au_grupos,id
au_grupo_historicos,au_grupos_id,au_grupos,id
au_grupo_programas,au_grupos_id,au_grupos,id
au_grupo_programas,pe_programas_id,pe_programas,id
au_grupo_regiones,au_grupos_id,au_grupos,id
au_grupo_sedes,au_grupos_id,au_grupos,id
au_grupo_sedes,cnt_prestadores_id,cnt_prestadores,id
au_grupo_sedes,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_grupo_tecnologias,au_grupos_id,au_grupos,id
au_grupo_usuarios,au_grupos_id,au_grupos,id
au_grupo_usuarios,gn_usuarios_id,gn_usuarios,id
au_item_bitacoras,au_anexo3_items_id,au_anexo3_items,id
au_no_solicitud_carga_detalles,au_no_solicitud_id,au_no_solicitudes,id
au_no_solicitud_carga_detalles,au_no_solicitud_cargas_id,au_no_solicitud_cargas,id
au_no_solicitud_carga_sucesos,au_no_solicitud_cargas_id,au_no_solicitud_cargas,id
au_no_solicitud_carga_sucesos,au_no_solicitud_carga_detalles_id,au_no_solicitud_carga_detalles,id
au_no_solicitud_cargas,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_no_solicitud_cargas,gn_empresas_id,gn_empresas,id
au_no_solicitud_diagnosticos,au_no_solicitudes_id,au_no_solicitudes,id
au_no_solicitud_entrega_carga_sucesos,au_no_solicitud_entregas_id,au_no_solicitud_entregas,id
au_no_solicitud_entrega_carga_sucesos,au_no_solicitud_entrega_cargas_id,au_no_solicitud_entrega_cargas,id
au_no_solicitud_entrega_cargas,gn_empresas_id,gn_empresas,id
au_no_solicitud_entrega_detalles,au_no_solicitud_items_id,au_no_solicitud_items,id
au_no_solicitud_entregas,au_no_solicitudes_id,au_no_solicitudes,id
au_no_solicitud_entregas,au_no_solicitud_items_id,au_no_solicitud_items,id
au_no_solicitud_entregas,au_no_solicitud_entrega_detalles_id,au_no_solicitud_entrega_detalles,id
au_no_solicitud_historicos,au_no_solicitudes_id,au_no_solicitudes,id
au_no_solicitud_items,au_no_solicitudes_id,au_no_solicitudes,id
au_no_solicitudes,aseg_afiliados_id,aseg_afiliados,id
au_no_solicitudes,cnt_prestador_id,cnt_prestadores,id
au_no_solicitudes,cnt_profesionales_id,cnt_profesionales,id
au_no_solicitudes,gn_empresas_id,gn_empresas,id
au_rechazo_items,au_anexo3_items_id,au_anexo3_items,id
au_rechazo_items,au_rechazos_id,au_rechazos,id
au_rechazos,aseg_afiliados_id,aseg_afiliados,id
au_rechazos,au_anexos3_id,au_anexos3,id
au_rechazos,gn_empresas_id,gn_empresas,id
au_seguimiento_afiliado_contactos,au_seguimiento_afiliado_id,au_seguimiento_afiliados,id
au_seguimiento_afiliados,aseg_afiliados_id,aseg_afiliados,id
au_seguimiento_afiliados,gn_residencia_ubicacion_id,gn_ubicaciones,id
au_seguimiento_gestiones,au_seguimientos_id,au_seguimientos,id
au_seguimiento_prestador_asignados,au_seguimientos_id,au_seguimientos,id
au_seguimiento_prestador_asignados,cnt_prestador_sedes_id,cnt_prestador_sedes,id
au_seguimiento_servicios,au_seguimiento_id,au_seguimientos,id
au_seguimientos,au_anexo3_items_id,au_anexo3_items,id
au_seguimientos,au_anexos3_id,au_anexos3,id
au_seguimientos,au_anexos4_id,au_anexos4,id
au_seguimientos,au_grupos_id,au_grupos,id
au_seguimientos,au_seguimiento_afiliados_id,au_seguimiento_afiliados,id
au_seguimientos,cnt_prestador_sede_asignado_id,cnt_prestador_sedes,id
au_seguimientos,gn_acompanante_residencia_ubicacion_id,gn_ubicaciones,id
au_seguimientos,gn_empresas_id,gn_empresas,id
au_solicitud_adjuntos,au_seguimientos_id,au_seguimientos,id
au_solicitud_adjuntos,au_seguimiento_afiliado_id,au_seguimiento_afiliados,id
au_solicitud_adjuntos,au_anexo2_rescates_id,au_anexo2_rescates,id
au_solicitud_adjuntos,au_anexos2_id,au_anexos2,id
au_solicitud_adjuntos,au_anexos3_id,au_anexos3,id
au_solicitud_adjuntos,au_anexos4_entregas_id,au_anexo4_entregas,id
au_solicitud_adjuntos,au_cotizaciones_id,au_cotizaciones,id
au_solicitud_adjuntos,au_no_solicitudes_id,au_no_solicitudes,id
au_solicitud_adjuntos,au_no_solicitud_entregas_id,au_no_solicitud_entregas,id
au_solicitud_adjuntos,au_seguimiento_gestiones_id,au_seguimiento_gestiones,id
au_tope_afiliados,ase_afiliados_id,aseg_afiliados,id
auc_afiliado_contactos,auc_afiliados_id,auc_afiliados,id
auc_afiliados,aseg_afiliados_id,aseg_afiliados,id
auc_auditor_historicos,auc_auditores_id,auc_auditores,id
auc_auditores,cnt_prestadores_id,cnt_prestadores,id
auc_auditores,cnt_prestador_sedes_id,cnt_prestador_sedes,id
auc_auditores,gn_usuarios_id,gn_usuarios,id
auc_carga_cierre_sucesos,auc_carga_cierres_id,auc_carga_cierres,id
auc_carga_cierres,cnt_prestador_sedes_id,cnt_prestador_sedes,id
auc_carga_cierres,gn_empresas_id,gn_empresas,id
auc_carga_fallos,auc_cargas_id,auc_cargas,id
auc_cargas,cnt_prestadores_id,cnt_prestadores,id
auc_cargas,cnt_prestador_sedes_id,cnt_prestador_sedes,id
auc_cargas,gn_empresas_id,gn_empresas,id
auc_diagnosticos,auc_egresos_id,auc_egresos,id
auc_diagnosticos,auc_hospitalizacion_id,auc_hospitalizaciones,id
auc_diagnosticos,auc_ingresos_id,auc_ingresos,id
auc_hospitalizacion_adversos,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_estados,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_estancias,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_historicos,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_inoportunidades,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_objeciones,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_patologias,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_seguimientos,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_servicios,auc_hospitalizaciones_id,auc_hospitalizaciones,id
auc_hospitalizacion_servicios,cnt_contratos_id,cnt_contratos,id
auc_hospitalizacion_servicios,cnt_contrato_sedes_id,cnt_contrato_sedes,id
auc_hospitalizaciones,auc_egresos_id,auc_egresos,id
auc_hospitalizaciones,auc_ingresos_id,auc_ingresos,id
auc_hospitalizaciones,cnt_prestadores_id,cnt_prestadores,id
auc_hospitalizaciones,cnt_prestador_sedes_id,cnt_prestador_sedes,id
auc_hospitalizaciones,gn_empresas_id,gn_empresas,id
auc_hospitalizaciones,gn_usuarios_auditor_id,gn_usuarios,id
auc_hospitalizaciones,auc_afiliados_id,auc_afiliados,id
auc_justificacion_estancias_prolongadas,auc_hospitalizaciones_id,auc_hospitalizaciones,id
aus_adjuntos,aus_casos_id,aus_casos,id
aus_adjuntos,aus_seguimientos_id,aus_seguimientos,id
aus_adjuntos,aus_servicios_id,aus_caso_servicios,id
aus_adjuntos,aus_solicitudes_id,aus_solicitudes,id
aus_carga_errores,aus_carga_masivas_id,aus_carga_masivas,id
aus_carga_masivas,gn_empresa_id,gn_empresas,id
aus_caso_servicio_costos,aus_caso_servicios_id,aus_caso_servicios,id
aus_caso_servicio_costos,au_anexos4_items_id,au_anexo4_items,id
aus_caso_servicios,cnt_prestador_sede_prescriptora_id,cnt_prestador_sedes,id
aus_caso_servicios,cnt_prestador_sede_destino_id,cnt_prestador_sedes,id
aus_caso_servicios,pe_programas_id,pe_programas,id
aus_caso_servicios,aus_casos_id,aus_casos,id
aus_caso_servicios,gn_usuarios_asignado_id,gn_usuarios,id
aus_caso_servicios,ma_diagnosticos_id,ma_diagnosticos,id
aus_casos,aus_carga_masivas_id,aus_carga_masivas,id
aus_casos,aus_personas_id,aus_personas,id
aus_casos,aus_accionante_personas_id,aus_personas,id
aus_casos,gn_empresas_id,gn_empresas,id
aus_casos,gn_sedes_id,gn_sedes,id
aus_casos,gn_ubicaciones_id,gn_ubicaciones,id
aus_casos,gn_usuarios_responsable_id,gn_usuarios,id
aus_casos,gn_usuario_cierre_id,gn_usuarios,id
aus_grupo_usuarios,aus_grupos_id,aus_grupos,id
aus_grupo_usuarios,gn_usuarios_id,gn_usuarios,id
aus_persona_telefonos,aus_personas_id,aus_personas,id
aus_personas,aseg_municipio_afiliacion,gn_ubicaciones,id
aus_personas,aseg_afiliados_id,aseg_afiliados,id
aus_personas,gn_ubicaciones_id,gn_ubicaciones,id
aus_seguimientos,aus_casos_id,aus_casos,id
aus_servicio_gestiones,aus_servicios_id,aus_caso_servicios,id
aus_solicitudes,aus_casos_id,aus_casos,id
car_carga_registros,car_cargas_id,car_cargas,id
car_cargas,car_periodos_id,car_periodos,id
car_cargas,car_procesos_id,car_procesos,id
car_cargas,cnt_prestadores_id,cnt_prestadores,id
car_cargas,gn_empresas_id,gn_empresas,id
car_periodos,car_procesos_id,car_procesos,id
car_proceso_prestadores,car_procesos_id,car_procesos,id
car_proceso_prestadores,cnt_prestadores_id,cnt_prestadores,id
car_proceso_usuarios,car_procesos_id,car_procesos,id
car_proceso_usuarios,gn_usuarios_id,gn_usuarios,id
cm_auditoria_adjuntos,cm_facturas_id,cm_facturas,id
cm_auditoria_adjuntos,cm_detalles_id,cm_detalles,id
cm_auditoria_autorizaciones,au_anexos4_id,au_anexos4,id
cm_auditoria_autorizaciones,cm_detalles_id,cm_detalles,id
cm_auditoria_autorizaciones,cm_facturas_id,cm_facturas,id
cm_auditoria_capita_descuentos,cm_detalles_id,cm_detalles,id
cm_auditoria_capita_descuentos,cnt_contratos_id,cnt_contratos,id
cm_auditoria_cierres,cm_auditoria_masiva_id,cm_auditoria_masiva,id
cm_auditoria_cierres,cm_facturas_id,cm_facturas,id
cm_auditoria_conceptos_contables,cm_detalles_id,cm_detalles,id
cm_auditoria_devoluciones,cm_devolucion_masiva_id,cm_devolucion_masiva,id
cm_auditoria_devoluciones,cm_facturas_id,cm_facturas,id
cm_auditoria_diagnosticos,cm_detalles_id,cm_detalles,id
cm_auditoria_masiva,cnt_prestadores_id,cnt_prestadores,id
cm_auditoria_motivos_glosas,cm_detalles_id,cm_detalles,id
cm_conciliaciones,cnt_prestadores_id,cnt_prestadores,id
cm_detalles,aseg_afiliados_id,aseg_afiliados,id
cm_detalles,cm_facturas_id,cm_facturas,id
